id,name,album,album_id,artists,artist_ids,track_number,disc_number,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,year,release_date,tonality,aggressive,calm,happy,sad
6ZU9RJIZ0fNaFuQM57bDIA,Bombtrack,Rage Against The Machine,4LaRYkT4oy47wEuQgkLBul,['Rage Against The Machine'],['2d0hyoQ5ynDBnkvAbJKORj'],1,1,True,0.478,0.855,4,-7.438,0,0.121,0.0134,3.18e-05,0.179,0.6679999999999999,151.93,243760,4,1992,1992-11-03,9,0.49386346588871965,0.0022198337318212725,0.43958376335479016,0.0643329370246689
3FUS56gKr9mVBmzvlnodlh,Killing In the Name,Rage Against The Machine,4LaRYkT4oy47wEuQgkLBul,['Rage Against The Machine'],['2d0hyoQ5ynDBnkvAbJKORj'],2,1,True,0.457,0.779,7,-6.323,1,0.257,0.0185,2.04e-06,0.0247,0.7340000000000001,86.573,313667,4,1992,1992-11-03,14,0.8419607081977247,0.008652511982637896,0.13604306366579538,0.013343716153841926
3tTL7jlSkowXidYeafFtwG,Take the Power Back,Rage Against The Machine,4LaRYkT4oy47wEuQgkLBul,['Rage Against The Machine'],['2d0hyoQ5ynDBnkvAbJKORj'],3,1,True,0.542,0.8420000000000001,1,-7.1370000000000005,1,0.173,0.043,0.000153,0.173,0.301,104.772,335840,4,1992,1992-11-03,2,0.9518872575596996,0.002398827240015992,0.03644457838472358,0.009269336815560861
2vuDdXqekkDCSdawJyUpT6,Settle for Nothing,Rage Against The Machine,4LaRYkT4oy47wEuQgkLBul,['Rage Against The Machine'],['2d0hyoQ5ynDBnkvAbJKORj'],4,1,False,0.516,0.5329999999999999,7,-9.563,1,0.0429,0.0253,4.71e-05,0.113,0.29,97.732,287333,4,1992,1992-11-03,14,0.0904039461632535,0.08966670827798685,0.3975523069635799,0.42237703859517967
11cxKUEgnVAlesUKt4e3br,Bullet In the Head,Rage Against The Machine,4LaRYkT4oy47wEuQgkLBul,['Rage Against The Machine'],['2d0hyoQ5ynDBnkvAbJKORj'],5,1,True,0.418,0.8059999999999999,4,-6.965,1,0.128,0.0032,0.000788,0.623,0.447,164.202,307067,4,1992,1992-11-03,8,0.8807087942426189,0.0034924235320514863,0.0758606408864026,0.03993814133892702
1IDAJagxB9AQjjYXaiDK1j,Know Your Enemy,Rage Against The Machine,4LaRYkT4oy47wEuQgkLBul,['Rage Against The Machine'],['2d0hyoQ5ynDBnkvAbJKORj'],6,1,True,0.574,0.765,4,-7.755,1,0.128,0.0141,0.0037799999999999,0.136,0.613,117.636,294693,4,1992,1992-11-03,8,0.5324002653233808,0.004171193226763521,0.40016903777386875,0.06325950367598707
6zbHSDJjgrNdfIxPyGfPBt,Wake Up,Rage Against The Machine,4LaRYkT4oy47wEuQgkLBul,['Rage Against The Machine'],['2d0hyoQ5ynDBnkvAbJKORj'],7,1,False,0.411,0.823,7,-7.5539999999999985,1,0.115,0.00316,0.0148,0.149,0.573,170.28099999999995,364133,4,1992,1992-11-03,14,0.9266992274444629,0.009562630241390662,0.03955326641170971,0.024184875902436846
3YEk8mVdMI7rxtfimlUd1G,Fistful of Steel,Rage Against The Machine,4LaRYkT4oy47wEuQgkLBul,['Rage Against The Machine'],['2d0hyoQ5ynDBnkvAbJKORj'],8,1,False,0.52,0.755,4,-9.031,0,0.134,0.0195,0.34,0.0956,0.608,155.513,331107,4,1992,1992-11-03,9,0.8330980935929034,0.009514224376132039,0.05615049024294112,0.10123719178802333
0WK0EqiidP6WEDOHK34HEe,Township Rebellion,Rage Against The Machine,4LaRYkT4oy47wEuQgkLBul,['Rage Against The Machine'],['2d0hyoQ5ynDBnkvAbJKORj'],9,1,True,0.525,0.597,2,-8.578,1,0.0551,0.00747,0.0055299999999999,0.351,0.47,133.58,324427,4,1992,1992-11-03,4,0.3499626358963233,0.029357230829542315,0.33339557175522216,0.28728456151891224
1zVE9JBBy8j0KmlbM8Xwhi,Freedom,Rage Against The Machine,4LaRYkT4oy47wEuQgkLBul,['Rage Against The Machine'],['2d0hyoQ5ynDBnkvAbJKORj'],10,1,False,0.499,0.613,7,-8.53,1,0.0953,0.00061,0.0225,0.2319999999999999,0.531,113.577,366267,4,1992,1992-11-03,14,0.7894127821470404,0.01414279894285148,0.11578760716716133,0.08065681174294681
2SwgVZn9S4NGueAaEAryf1,Man on a Mission,Do It for Love,4evw6IBex3N8x1oA2axMTH,['Daryl Hall & John Oates'],['77tT1kLj6mCWtFNqiOmP9H'],1,1,False,0.787,0.903,0,-4.894,1,0.0315,0.292,2.48e-05,0.1009999999999999,0.962,119.946,224307,4,2018,2018-04-10,0,0.001119292509300619,0.009419556246034359,0.9757800148352226,0.013681136409442449
0QCQ1Isa0YPVyIbs6JwpO1,Do It for Love,Do It for Love,4evw6IBex3N8x1oA2axMTH,['Daryl Hall & John Oates'],['77tT1kLj6mCWtFNqiOmP9H'],2,1,False,0.5870000000000001,0.958,4,-5.149,1,0.0586,0.107,0.0,0.0574,0.8320000000000001,87.976,238000,4,2018,2018-04-10,8,0.010441977637906063,0.002307692307692308,0.9836276095627626,0.0036227204916390193
3kIBEFhsZOeeKGebxRraOb,Someday We'll Know,Do It for Love,4evw6IBex3N8x1oA2axMTH,['Daryl Hall & John Oates'],['77tT1kLj6mCWtFNqiOmP9H'],3,1,False,0.565,0.7809999999999999,1,-5.073,0,0.0308,0.0233,9.91e-06,0.0819,0.461,109.977,268013,4,2018,2018-04-10,3,0.0291621191726765,0.030579606006081513,0.7715026837962862,0.16875559102495588
5dNDRw6qjDcnbW3luRhElU,Forever for You,Do It for Love,4evw6IBex3N8x1oA2axMTH,['Daryl Hall & John Oates'],['77tT1kLj6mCWtFNqiOmP9H'],4,1,False,0.6509999999999999,0.5670000000000001,9,-6.4170000000000025,1,0.024,0.562,5.78e-06,0.186,0.37,97.03,277813,4,2018,2018-04-10,18,0.0014590180892003015,0.2718386150923517,0.11856395541996378,0.6081384113984842
561UU4MvlsCenN1x7leYCh,Life's Too Short,Do It for Love,4evw6IBex3N8x1oA2axMTH,['Daryl Hall & John Oates'],['77tT1kLj6mCWtFNqiOmP9H'],5,1,False,0.833,0.805,0,-4.553999999999999,1,0.0347,0.076,0.0136,0.0731,0.974,116.013,209960,4,2018,2018-04-10,0,0.0011889460154241645,0.002311370812782005,0.9758415146083703,0.020658168563423406
5ytl6Ay8G7ucmujk9R3S0c,Getaway Car,Do It for Love,4evw6IBex3N8x1oA2axMTH,['Daryl Hall & John Oates'],['77tT1kLj6mCWtFNqiOmP9H'],6,1,False,0.782,0.619,8,-5.759,1,0.0266,0.264,0.0,0.0607,0.898,110.004,229253,4,2018,2018-04-10,16,0.0011319288577614117,0.016054659505208027,0.969812006937345,0.013001404699685642
0zjqm0VWOQT9is5gT9CTib,Make You Stay,Do It for Love,4evw6IBex3N8x1oA2axMTH,['Daryl Hall & John Oates'],['77tT1kLj6mCWtFNqiOmP9H'],7,1,False,0.605,0.921,9,-4.336,0,0.0407,0.0203,0.0,0.228,0.705,90.02,221174,4,2018,2018-04-10,19,0.010426104376221795,0.0025802291883708036,0.9792088262743022,0.007784840161105136
5UMTzSiB8mMu9vuo2PZkhd,Miss DJ,Do It for Love,4evw6IBex3N8x1oA2axMTH,['Daryl Hall & John Oates'],['77tT1kLj6mCWtFNqiOmP9H'],8,1,False,0.679,0.8909999999999999,10,-3.531,1,0.0339,0.0953,0.0,0.155,0.965,102.992,229213,4,2018,2018-04-10,20,0.0012048192771084338,0.002307692307692308,0.9930756081991954,0.003411880216003927
